datetime,location,social_context,activity,coffee_type,price,caffeine_mg,mood_before,mood_after,sleep_hours_next_night
2024-01-09 18:42:11.878107,Work,With Colleagues,Working,Office Machine,0.0,70,7,9,7.0
2024-01-11 08:04:15.502667,On the go,Alone,Working,Latte,4.04,75,6,8,6.8
2024-01-11 20:17:28.167967,Home,Alone,Reading,Filter Coffee,0.3,100,6,8,5.1
2024-01-12 07:52:54.102167,Home,Alone,Morning Routine,Filter Coffee,0.5,100,7,8,7.0
2024-01-12 12:34:06.080993,Work,Alone,Working,Office Machine,0.0,70,6,7,7.4
2024-01-12 15:07:57.678371,On the go,With Colleagues,Working,Cappuccino,4.51,75,5,8,7.9
2024-01-12 19:30:52.046174,Home,Alone,Reading,Filter Coffee,0.5,100,5,7,5.7
2024-01-13 08:56:55.587435,Home,Alone,Relaxing,Filter Coffee,0.5,100,6,8,8.0
2024-01-13 10:27:46.226983,On the go,Alone,Relaxing,Double Espresso,5.22,130,8,10,9.3
2024-01-14 06:19:56.564535,On the go,Alone,Relaxing,Americano,5.38,95,8,10,7.9
2024-01-15 08:35:37.825145,On the go,Alone,Working,Flat White,3.96,130,3,4,8.2
2024-01-15 20:13:32.164660,Home,Alone,Reading,Filter Coffee,0.3,100,7,9,4.3
2024-01-16 08:05:55.259331,On the go,Alone,Working,Latte,4.78,75,6,7,8.5
2024-01-16 10:55:09.806097,On the go,Alone,Working,Flat White,4.24,130,4,7,7.4
2024-01-16 20:26:20.418112,Home,Alone,Reading,Instant,0.5,65,4,5,4.0
2024-01-17 07:20:06.512476,Home,Alone,Morning Routine,Filter Coffee,0.5,100,7,10,6.7
2024-01-17 19:50:53.533301,Home,Alone,Reading,Filter Coffee,0.5,100,6,8,6.8
2024-01-18 08:19:24.265032,On the go,Meeting,Working,Flat White,4.37,130,4,6,8.6
2024-01-19 16:15:53.060175,Work,Meeting,Working,Office Machine,0.0,70,7,10,8.0
2024-01-20 15:40:45.404510,Home,With Family,Relaxing,Filter Coffee,0.5,100,6,8,7.4
2024-01-22 22:05:33.904639,Home,Alone,Reading,Instant,0.3,65,7,10,5.3
2024-01-23 08:55:49.082745,On the go,With Colleagues,Working,Cappuccino,4.61,75,6,8,8.0
2024-01-23 10:33:57.426912,Coffee Shop,Alone,Working,Cappuccino,4.01,75,5,7,8.9
2024-01-23 16:47:48.056801,On the go,With Colleagues,Working,Double Espresso,4.09,130,5,8,7.6
2024-01-23 18:09:30.733607,Work,Alone,Working,Office Machine,0.0,70,7,8,5.2
2024-01-23 19:20:09.111164,Home,Alone,Reading,Filter Coffee,0.5,100,7,10,5.0
2024-01-23 20:54:54.003021,Home,Alone,Reading,Filter Coffee,0.5,100,6,7,4.3
2024-01-24 08:36:37.754257,Work,Meeting,Working,Office Machine,0.0,70,5,6,6.8
2024-01-24 20:25:44.200942,Home,Alone,Reading,Espresso,0.5,65,7,8,5.2
2024-01-25 06:12:25.542694,Home,Alone,Morning Routine,Espresso,0.5,65,7,9,9.2
2024-01-26 07:55:35.271118,Home,Alone,Morning Routine,Instant,0.5,65,5,8,8.0
2024-01-27 09:17:48.940351,Home,Alone,Relaxing,Filter Coffee,0.3,100,7,8,7.4
2024-01-28 07:57:31.024189,Home,Alone,Relaxing,Filter Coffee,0.5,100,7,8,6.9
2024-01-29 07:13:43.908332,Home,Alone,Morning Routine,Espresso,0.3,65,4,7,8.8
2024-01-29 08:00:40.093490,Work,With Colleagues,Working,Office Machine,0.0,70,3,4,7.1
2024-01-29 14:42:18.060744,Work,With Colleagues,Working,Office Machine,0.0,70,5,7,7.1
2024-01-30 07:42:11.092436,Home,Alone,Morning Routine,Filter Coffee,0.5,100,5,6,8.4
2024-01-31 18:32:37.570490,Work,With Colleagues,Working,Office Machine,0.0,70,6,8,8.8
2024-02-01 12:58:26.919376,Coffee Shop,Alone,Working,Cappuccino,3.55,75,7,10,7.6
2024-02-02 14:48:04.590897,Coffee Shop,Meeting,Working,Latte,4.42,75,6,9,7.4
2024-02-04 18:47:12.282120,Friend House,Alone,Relaxing,Double Espresso,3.93,130,7,9,6.8
2024-02-04 19:25:21.450516,Coffee Shop,With Friends,Socializing,Cappuccino,4.14,75,7,9,5.4
2024-02-05 14:30:47.202042,Coffee Shop,Alone,Working,Americano,4.34,95,4,5,7.2
2024-02-06 07:13:02.229645,Home,Alone,Morning Routine,Espresso,0.5,65,6,7,7.0
2024-02-06 11:49:13.980332,Work,Alone,Working,Office Machine,0.0,70,7,8,7.8
2024-02-06 16:10:55.297433,Coffee Shop,Alone,Working,Flat White,3.71,130,4,5,8.1
2024-02-06 22:21:13.657980,Home,Alone,Reading,Espresso,0.3,65,7,8,4.7
2024-02-08 12:04:49.118285,Work,With Colleagues,Working,Office Machine,0.0,70,5,8,7.6
2024-02-09 07:04:04.770915,Home,Alone,Morning Routine,Filter Coffee,0.5,100,4,7,8.0
2024-02-09 10:53:41.616138,On the go,Alone,Working,Double Espresso,5.36,130,5,8,7.8
2024-02-10 06:28:21.119664,Friend House,With Family,Relaxing,Cappuccino,4.74,75,6,8,8.8
2024-02-10 07:52:41.597712,Coffee Shop,With Friends,Socializing,Cappuccino,5.28,75,7,8,6.2
2024-02-10 21:48:28.937861,On the go,With Family,Relaxing,Latte,5.39,75,6,7,5.2
2024-02-11 20:12:23.133516,Home,Alone,Relaxing,Espresso,0.5,65,8,10,4.9
2024-02-12 07:19:32.819806,Home,Alone,Morning Routine,Filter Coffee,0.5,100,3,5,6.6
2024-02-13 08:56:20.414643,Work,Alone,Working,Office Machine,0.0,70,4,7,7.9
2024-02-13 16:27:20.697531,Work,Alone,Working,Office Machine,0.0,70,5,6,7.2
2024-02-15 21:18:06.015651,Home,Alone,Reading,Filter Coffee,0.5,100,4,5,4.9
2024-02-17 14:40:12.131267,Friend House,Alone,Relaxing,Flat White,5.44,130,7,10,7.4
2024-02-18 06:33:07.520793,Coffee Shop,With Friends,Socializing,Double Espresso,4.89,130,8,10,9.3
2024-02-18 11:45:00.229779,Home,Alone,Relaxing,Filter Coffee,0.5,100,6,7,6.9
2024-02-18 16:33:59.980689,Coffee Shop,With Friends,Socializing,Latte,4.12,75,6,7,7.0
2024-02-19 06:29:27.679671,Home,Alone,Morning Routine,Instant,0.5,65,3,5,8.0
2024-02-19 19:19:25.330095,Home,Alone,Reading,Filter Coffee,0.5,100,4,6,6.1
2024-02-20 08:59:43.015201,On the go,Meeting,Working,Latte,4.44,75,6,9,6.6
2024-02-20 14:06:19.815389,Work,Alone,Working,Office Machine,0.0,70,4,5,8.7
2024-02-22 12:26:39.304323,On the go,With Colleagues,Working,Latte,3.76,75,6,7,7.7
2024-02-23 08:21:13.731992,On the go,Alone,Working,Cappuccino,4.22,75,7,10,7.7
2024-02-24 08:01:50.619855,Coffee Shop,Alone,Socializing,Americano,4.62,95,7,10,9.1
2024-02-24 16:17:49.505141,Home,Alone,Relaxing,Espresso,0.3,65,7,9,7.3
2024-02-25 07:17:04.437189,Coffee Shop,With Partner,Socializing,Flat White,5.31,130,6,8,7.5
2024-02-25 16:52:35.276113,Friend House,Alone,Relaxing,Cappuccino,5.22,75,6,7,5.7
2024-02-26 08:42:35.485434,Coffee Shop,With Colleagues,Working,Flat White,4.66,130,4,7,7.5
2024-02-26 21:02:21.891146,Home,Alone,Reading,Filter Coffee,0.5,100,6,9,5.4
2024-02-27 08:15:04.881311,Work,Alone,Working,Office Machine,0.0,70,6,7,6.7
2024-02-29 18:06:27.276055,Coffee Shop,With Colleagues,Working,Double Espresso,3.84,130,7,9,6.2
2024-02-29 21:48:18.187140,Home,Alone,Reading,Filter Coffee,0.5,100,5,6,4.3
2024-03-01 08:00:46.571786,On the go,Alone,Working,Flat White,5.34,130,4,5,8.2
2024-03-02 06:04:57.548822,Home,Alone,Relaxing,Filter Coffee,0.5,100,7,9,7.0
2024-03-03 08:54:48.750046,Coffee Shop,With Partner,Socializing,Flat White,4.0,130,8,10,7.5
2024-03-03 21:03:57.649382,Home,Alone,Relaxing,Filter Coffee,0.3,100,6,9,5.9
2024-03-04 08:38:40.752507,Work,Alone,Working,Office Machine,0.0,70,3,5,6.3
2024-03-04 15:21:50.445570,Work,With Colleagues,Working,Office Machine,0.0,70,4,5,7.7
2024-03-05 08:48:50.338416,Work,Meeting,Working,Office Machine,0.0,70,7,8,5.9
2024-03-05 15:24:01.636094,On the go,Alone,Working,Flat White,4.21,130,4,6,8.4
2024-03-06 06:17:37.617382,Home,Alone,Morning Routine,Filter Coffee,0.5,100,4,6,7.3
2024-03-07 12:44:06.513951,Work,Alone,Working,Office Machine,0.0,70,7,10,5.7
2024-03-08 18:17:22.341795,Work,With Colleagues,Working,Office Machine,0.0,70,4,7,6.4
2024-03-10 10:11:19.029191,Home,With Family,Relaxing,Filter Coffee,0.5,100,8,10,8.2
2024-03-12 07:35:41.210661,Home,Alone,Morning Routine,Filter Coffee,0.5,100,6,7,7.0
2024-03-12 13:51:07.868697,Work,Meeting,Working,Office Machine,0.0,70,4,7,8.0
2024-03-13 09:30:21.882077,On the go,With Colleagues,Working,Flat White,5.36,130,4,7,6.1
2024-03-13 19:11:46.009680,Home,Alone,Reading,Filter Coffee,0.5,100,7,9,6.9
2024-03-14 08:25:19.898977,Work,With Colleagues,Working,Office Machine,0.0,70,4,5,7.4
2024-03-15 07:19:43.686883,Home,Alone,Morning Routine,Filter Coffee,0.3,100,4,6,6.7
2024-03-16 08:15:14.160578,Home,With Family,Relaxing,Instant,0.5,65,8,10,7.6
2024-03-16 09:02:33.245286,Coffee Shop,Alone,Socializing,Double Espresso,3.9,130,7,10,7.8
2024-03-16 11:54:49.257504,On the go,With Family,Relaxing,Cappuccino,5.32,75,6,7,8.9
2024-03-16 21:32:09.102807,Coffee Shop,Alone,Socializing,Double Espresso,4.1,130,8,10,5.8
2024-03-17 08:42:48.624991,Home,With Family,Relaxing,Filter Coffee,0.5,100,6,9,5.7
2024-03-17 15:11:18.716469,Coffee Shop,With Partner,Socializing,Americano,5.09,95,6,7,8.6
2024-03-18 07:23:13.754693,Home,Alone,Morning Routine,Filter Coffee,0.3,100,3,4,6.6
2024-03-19 08:11:06.155057,Work,Alone,Working,Office Machine,0.0,70,4,7,6.8
2024-03-20 06:39:54.706327,Home,Alone,Morning Routine,Filter Coffee,0.3,100,6,9,8.5
2024-03-20 09:15:50.201426,Work,Alone,Working,Office Machine,0.0,70,5,8,7.1
2024-03-21 07:39:41.227849,Home,Alone,Morning Routine,Filter Coffee,0.5,100,6,9,6.7
2024-03-22 21:54:55.693474,Home,Alone,Reading,Filter Coffee,0.5,100,6,9,4.7
2024-03-23 07:20:55.416179,Home,With Family,Relaxing,Filter Coffee,0.3,100,6,9,8.0
2024-03-23 09:04:25.966753,Friend House,With Family,Relaxing,Double Espresso,4.91,130,7,8,8.8
2024-03-23 22:48:47.210585,Coffee Shop,With Friends,Socializing,Double Espresso,3.71,130,6,8,4.2
2024-03-24 07:06:43.708018,Friend House,With Family,Relaxing,Flat White,4.68,130,6,9,7.1
2024-03-24 08:00:47.633414,Home,With Family,Relaxing,Filter Coffee,0.3,100,8,10,8.3
2024-03-26 07:01:41.404183,Home,Alone,Morning Routine,Filter Coffee,0.5,100,6,7,7.3
2024-03-26 21:10:47.042721,Home,Alone,Reading,Filter Coffee,0.3,100,6,8,5.1
2024-03-27 08:51:56.712777,Work,Alone,Working,Office Machine,0.0,70,6,8,6.4
2024-03-27 12:50:35.266406,Work,Meeting,Working,Office Machine,0.0,70,4,5,7.3
2024-03-27 14:16:13.960415,On the go,Meeting,Working,Latte,4.12,75,5,8,6.6
2024-03-28 08:10:28.431122,On the go,With Colleagues,Working,Double Espresso,4.75,130,4,6,7.7
2024-03-28 13:44:44.942844,On the go,Meeting,Working,Americano,4.46,95,5,7,8.4
2024-03-29 12:56:26.914327,Work,With Colleagues,Working,Office Machine,0.0,70,6,9,6.8
2024-03-31 08:22:34.428180,Coffee Shop,With Friends,Socializing,Americano,5.18,95,8,9,8.2
2024-03-31 16:45:49.641541,Coffee Shop,With Friends,Socializing,Flat White,4.51,130,7,8,6.7
2024-04-01 09:41:13.109063,Work,With Colleagues,Working,Office Machine,0.0,70,3,5,7.9
2024-04-02 14:03:32.366662,Work,Alone,Working,Office Machine,0.0,70,4,6,8.0
2024-04-02 14:16:06.188714,Work,With Colleagues,Working,Office Machine,0.0,70,6,7,7.3
2024-04-04 07:43:31.325267,Home,Alone,Morning Routine,Filter Coffee,0.5,100,4,7,6.3
2024-04-05 11:37:21.695447,Work,With Colleagues,Working,Office Machine,0.0,70,7,8,8.4
2024-04-05 18:23:50.309438,On the go,With Colleagues,Working,Double Espresso,4.09,130,7,9,5.9
2024-04-07 08:51:12.193275,Friend House,Alone,Relaxing,Latte,4.47,75,6,8,7.8
2024-04-08 06:30:38.576101,Home,Alone,Morning Routine,Espresso,0.3,65,4,5,7.6
2024-04-11 08:04:50.527901,On the go,Alone,Working,Double Espresso,3.54,130,5,6,7.4
2024-04-12 11:05:01.685296,Work,With Colleagues,Working,Office Machine,0.0,70,4,5,8.9
2024-04-12 12:53:13.036100,Work,With Colleagues,Working,Office Machine,0.0,70,6,8,7.5
2024-04-13 09:57:58.574353,Home,With Family,Relaxing,Filter Coffee,0.5,100,6,7,6.0
2024-04-13 21:40:25.469672,Home,Alone,Relaxing,Espresso,0.3,65,6,9,4.1
2024-04-14 07:10:39.871607,On the go,Alone,Relaxing,Americano,4.94,95,8,10,7.4
2024-04-16 08:28:25.793904,Work,Meeting,Working,Office Machine,0.0,70,5,8,7.9
2024-04-16 13:20:25.945700,Work,With Colleagues,Working,Office Machine,0.0,70,5,8,6.1
2024-04-17 12:55:08.183347,Work,With Colleagues,Working,Office Machine,0.0,70,4,5,8.3
2024-04-18 07:51:56.388403,Home,Alone,Morning Routine,Filter Coffee,0.3,100,6,9,7.9
2024-04-19 08:50:55.840418,Work,With Colleagues,Working,Office Machine,0.0,70,4,7,7.9
2024-04-21 07:43:55.351406,Coffee Shop,With Partner,Socializing,Latte,3.87,75,7,10,8.2
2024-04-22 08:56:09.043800,Coffee Shop,Alone,Working,Cappuccino,4.48,75,4,7,8.0
2024-04-25 07:15:53.208643,Home,Alone,Morning Routine,Instant,0.3,65,7,9,6.5
2024-04-25 13:16:05.289529,Work,Alone,Working,Office Machine,0.0,70,6,8,9.6
2024-04-25 22:01:56.891715,Home,Alone,Reading,Espresso,0.3,65,5,8,5.8
2024-04-26 14:34:56.100506,Coffee Shop,With Colleagues,Working,Americano,3.74,95,5,8,5.3
2024-04-27 09:38:56.750408,Home,With Family,Relaxing,Filter Coffee,0.3,100,6,7,8.5
2024-04-27 21:23:53.551612,Coffee Shop,Alone,Socializing,Cappuccino,3.55,75,7,9,5.8
2024-04-27 21:44:31.886188,On the go,With Family,Relaxing,Flat White,3.64,130,7,8,4.7
2024-04-28 08:12:04.274915,Coffee Shop,Alone,Socializing,Latte,5.04,75,6,9,8.6
2024-04-28 16:57:15.482482,Coffee Shop,With Friends,Socializing,Flat White,4.43,130,7,9,6.3
2024-04-28 17:38:32.557864,Home,With Family,Relaxing,Filter Coffee,0.3,100,6,9,6.1
2024-04-30 17:33:42.038079,On the go,With Colleagues,Working,Flat White,5.31,130,5,6,6.6
2024-05-01 07:46:37.496828,Home,Alone,Morning Routine,Espresso,0.3,65,6,7,7.5
2024-05-01 09:49:42.876811,Work,With Colleagues,Working,Office Machine,0.0,70,4,5,7.9
2024-05-01 13:43:43.432003,Work,Meeting,Working,Office Machine,0.0,70,4,5,8.5
2024-05-01 18:33:05.253069,Work,Meeting,Working,Office Machine,0.0,70,4,7,5.9
2024-05-01 22:36:19.235698,Home,Alone,Reading,Filter Coffee,0.3,100,7,9,5.2
2024-05-03 06:04:39.535768,Home,Alone,Morning Routine,Filter Coffee,0.5,100,6,9,7.9
2024-05-03 18:53:03.427186,Work,Meeting,Working,Office Machine,0.0,70,6,8,7.2
2024-05-04 07:41:47.918778,Home,With Family,Relaxing,Instant,0.5,65,6,7,7.5
2024-05-05 21:36:56.496502,Coffee Shop,With Partner,Socializing,Flat White,5.23,130,6,8,5.9
2024-05-06 09:24:04.557345,On the go,With Colleagues,Working,Flat White,5.23,130,2,3,7.9
2024-05-07 07:38:21.316549,Home,Alone,Morning Routine,Espresso,0.5,65,6,7,8.2
2024-05-08 17:40:47.984469,On the go,With Colleagues,Working,Cappuccino,3.76,75,6,7,6.1
2024-05-09 20:56:13.467985,Home,Alone,Reading,Espresso,0.3,65,7,10,5.9
2024-05-10 07:22:14.212814,Home,Alone,Morning Routine,Espresso,0.3,65,4,5,7.3
2024-05-10 07:30:59.168243,Home,Alone,Morning Routine,Espresso,0.5,65,5,8,6.8
2024-05-11 06:25:08.296733,Coffee Shop,Alone,Socializing,Americano,4.77,95,7,8,7.1
2024-05-11 12:08:52.115919,Coffee Shop,With Friends,Socializing,Cappuccino,4.45,75,7,9,7.7
2024-05-11 13:23:23.675161,On the go,With Family,Relaxing,Double Espresso,4.39,130,8,10,6.1
2024-05-11 14:28:33.485249,On the go,Alone,Relaxing,Flat White,4.01,130,8,10,8.6
2024-05-11 17:14:43.482887,Coffee Shop,Alone,Socializing,Flat White,4.4,130,8,10,7.2
2024-05-11 21:14:11.718184,Home,With Family,Relaxing,Espresso,0.3,65,8,9,5.9
2024-05-14 08:05:19.145563,Work,Alone,Working,Office Machine,0.0,70,7,8,6.5
2024-05-14 13:13:00.045215,On the go,Meeting,Working,Americano,4.95,95,5,6,8.8
2024-05-14 16:47:38.977912,On the go,Alone,Working,Cappuccino,5.23,75,7,10,7.4
2024-05-15 16:22:23.639640,On the go,Alone,Working,Flat White,5.09,130,7,8,7.5
2024-05-17 07:13:48.520484,Home,Alone,Morning Routine,Instant,0.5,65,5,8,6.7
2024-05-17 09:22:12.160433,Coffee Shop,Meeting,Working,Latte,3.82,75,5,7,7.5
2024-05-17 15:40:50.440620,Work,Meeting,Working,Office Machine,0.0,70,7,8,7.4
2024-05-18 09:56:04.106775,Home,With Family,Relaxing,Espresso,0.3,65,6,7,6.6
2024-05-19 17:24:22.587029,Coffee Shop,With Friends,Socializing,Flat White,3.71,130,6,7,6.4
2024-05-20 08:56:30.359310,On the go,Meeting,Working,Cappuccino,4.15,75,3,4,7.5
2024-05-20 10:24:47.768935,Work,With Colleagues,Working,Office Machine,0.0,70,7,9,6.7
2024-05-21 08:49:31.971401,Coffee Shop,Alone,Working,Cappuccino,3.83,75,4,7,7.3
2024-05-21 10:56:52.054014,On the go,Meeting,Working,Latte,3.6,75,7,8,8.1
2024-05-22 06:58:51.140451,Home,Alone,Morning Routine,Espresso,0.5,65,6,9,7.8
2024-05-22 17:34:46.589879,Coffee Shop,Meeting,Working,Cappuccino,5.07,75,6,9,8.0
2024-05-23 07:58:25.103212,Home,Alone,Morning Routine,Espresso,0.3,65,4,7,7.1
2024-05-23 11:55:58.462723,On the go,With Colleagues,Working,Double Espresso,5.08,130,6,9,6.5
2024-05-24 07:26:37.728498,Home,Alone,Morning Routine,Espresso,0.5,65,6,9,8.5
2024-05-24 11:25:50.554623,Work,With Colleagues,Working,Office Machine,0.0,70,6,7,7.8
2024-05-25 09:09:04.737937,Coffee Shop,With Friends,Socializing,Americano,5.04,95,7,8,8.0
2024-05-25 20:41:45.335531,Coffee Shop,With Friends,Socializing,Cappuccino,4.47,75,7,10,5.4
2024-05-26 07:52:53.950979,Home,Alone,Relaxing,Filter Coffee,0.5,100,6,9,8.2
2024-05-26 12:11:03.477933,Coffee Shop,With Friends,Socializing,Cappuccino,3.98,75,7,9,7.8
2024-05-27 08:01:45.964224,Work,Meeting,Working,Office Machine,0.0,70,3,6,7.3
2024-05-27 15:09:03.145873,Work,With Colleagues,Working,Office Machine,0.0,70,6,7,6.5
2024-05-28 14:54:32.907258,Work,Alone,Working,Office Machine,0.0,70,6,9,8.4
2024-05-28 19:13:01.911363,Home,Alone,Reading,Filter Coffee,0.5,100,7,9,7.5
2024-05-28 21:44:16.162194,Home,Alone,Reading,Filter Coffee,0.5,100,6,7,4.6
2024-05-29 08:23:41.111119,Work,With Colleagues,Working,Office Machine,0.0,70,4,7,7.2
2024-05-30 14:08:19.078582,On the go,Meeting,Working,Americano,4.58,95,7,9,9.2
2024-06-02 11:15:00.181383,Home,Alone,Relaxing,Filter Coffee,0.3,100,8,10,8.1
2024-06-02 17:19:49.656580,Coffee Shop,With Friends,Socializing,Double Espresso,4.46,130,8,10,6.6
2024-06-02 17:36:39.533866,Home,With Family,Relaxing,Filter Coffee,0.3,100,7,10,6.0
2024-06-02 18:05:52.415967,Home,With Family,Relaxing,Espresso,0.5,65,6,7,6.6
2024-06-03 15:05:47.242209,Work,With Colleagues,Working,Iced Coffee,4.88,90,4,7,7.5
2024-06-03 15:22:45.103966,Work,Alone,Working,Iced Coffee,5.65,90,6,7,7.7
2024-06-04 10:05:37.378040,Coffee Shop,With Colleagues,Working,Double Espresso,4.83,130,4,6,6.7
2024-06-05 07:57:13.543321,Home,Alone,Morning Routine,Instant,0.3,65,4,5,7.1
2024-06-06 08:21:15.274600,Work,Alone,Working,Office Machine,0.0,70,7,9,6.2
2024-06-07 08:58:35.702469,On the go,Alone,Working,Flat White,5.24,130,4,6,6.8
2024-06-07 21:33:28.634662,Home,Alone,Reading,Filter Coffee,0.5,100,5,8,4.0
2024-06-08 10:16:50.961745,Coffee Shop,With Partner,Socializing,Flat White,3.95,130,7,10,8.4
2024-06-09 08:04:48.058435,Coffee Shop,With Partner,Socializing,Latte,4.26,75,7,9,7.1
2024-06-09 14:45:30.752404,Home,Alone,Relaxing,Filter Coffee,0.3,100,8,10,7.5
2024-06-10 17:35:01.207530,On the go,Alone,Working,Flat White,3.52,130,6,7,6.5
2024-06-12 11:28:04.711504,Work,Alone,Working,Office Machine,0.0,70,5,8,7.8
2024-06-12 13:10:44.482080,Work,With Colleagues,Working,Office Machine,0.0,70,6,7,7.6
2024-06-12 19:08:47.018155,Home,Alone,Reading,Iced Coffee,5.57,90,4,5,7.0
2024-06-13 07:41:06.198991,Home,Alone,Morning Routine,Filter Coffee,0.3,100,6,8,7.1
2024-06-13 13:17:03.450928,On the go,With Colleagues,Working,Iced Coffee,5.14,90,5,8,7.9
2024-06-14 16:20:51.223543,Work,Meeting,Working,Office Machine,0.0,70,4,7,7.3
2024-06-15 06:45:06.558707,Coffee Shop,With Partner,Socializing,Cappuccino,4.22,75,7,8,9.3
2024-06-15 11:04:37.429308,Coffee Shop,With Friends,Socializing,Flat White,5.2,130,8,10,8.0
2024-06-15 13:40:18.462615,Coffee Shop,With Friends,Socializing,Americano,5.23,95,8,9,8.0
2024-06-15 15:16:53.610784,Home,With Family,Relaxing,Iced Coffee,5.32,90,7,8,8.7
2024-06-16 08:16:07.629568,Home,With Family,Relaxing,Espresso,0.5,65,7,8,6.2
2024-06-17 07:29:58.386386,Home,Alone,Morning Routine,Filter Coffee,0.5,100,3,6,6.2
2024-06-18 21:15:00.853486,Home,Alone,Reading,Iced Coffee,4.9,90,4,5,5.9
2024-06-19 11:44:30.531801,Work,With Colleagues,Working,Office Machine,0.0,70,5,6,6.7
2024-06-20 16:16:09.997167,Coffee Shop,With Colleagues,Working,Iced Coffee,4.91,90,7,9,8.8
2024-06-21 10:30:25.164374,Work,Meeting,Working,Office Machine,0.0,70,5,7,7.4
2024-06-21 17:43:16.897348,On the go,Meeting,Working,Americano,3.68,95,4,5,6.3
2024-06-22 09:50:43.209062,Coffee Shop,With Friends,Socializing,Cappuccino,3.69,75,6,9,6.9
2024-06-23 08:20:20.818380,Coffee Shop,With Friends,Socializing,Americano,5.45,95,7,8,8.5
2024-06-24 08:43:10.935059,Work,Alone,Working,Office Machine,0.0,70,2,4,8.2
2024-06-25 16:43:20.075866,Coffee Shop,Meeting,Working,Double Espresso,3.57,130,4,7,6.6
2024-06-25 21:36:26.515883,Home,Alone,Reading,Filter Coffee,0.3,100,4,5,6.1
2024-06-26 08:51:24.638100,Coffee Shop,Meeting,Working,Flat White,5.07,130,6,8,7.5
2024-06-26 22:14:00.389098,Home,Alone,Reading,Filter Coffee,0.3,100,5,7,4.3
2024-06-28 07:53:23.358149,Home,Alone,Morning Routine,Espresso,0.5,65,6,9,8.4
2024-06-28 13:42:14.153837,Work,Meeting,Working,Office Machine,0.0,70,5,8,7.5
2024-06-29 06:05:37.008434,On the go,Alone,Relaxing,Latte,5.35,75,7,8,7.5
2024-06-29 21:00:22.889704,Coffee Shop,With Friends,Socializing,Latte,5.15,75,6,7,5.1
2024-06-30 08:17:36.090157,Home,Alone,Relaxing,Espresso,0.5,65,6,9,6.7
2024-06-30 19:34:53.291904,Coffee Shop,With Friends,Socializing,Iced Coffee,4.82,90,7,9,5.1
2024-06-30 20:35:40.075140,Coffee Shop,With Friends,Socializing,Flat White,5.01,130,8,10,5.8
2024-07-03 14:26:21.244413,Work,With Colleagues,Working,Office Machine,0.0,70,5,7,7.7
2024-07-03 15:28:05.872728,Work,Alone,Working,Iced Coffee,5.42,90,7,8,7.0
2024-07-04 07:06:52.287354,Home,Alone,Morning Routine,Filter Coffee,0.3,100,5,8,7.2
2024-07-05 07:05:56.737320,Home,Alone,Morning Routine,Filter Coffee,0.5,100,5,7,8.6
2024-07-05 10:12:49.266303,Work,Alone,Working,Office Machine,0.0,70,6,8,7.3
2024-07-06 11:12:35.287296,Coffee Shop,With Partner,Socializing,Double Espresso,3.93,130,6,8,6.7
2024-07-06 15:37:33.979499,Friend House,With Family,Relaxing,Iced Coffee,5.23,90,8,9,5.9
2024-07-07 21:23:20.974613,Home,Alone,Relaxing,Filter Coffee,0.5,100,7,10,6.7
2024-07-08 08:55:55.106247,On the go,With Colleagues,Working,Cappuccino,5.28,75,2,3,7.9
2024-07-09 11:24:35.727025,Work,With Colleagues,Working,Office Machine,0.0,70,5,7,7.6
