Title,Date,Genre,My_Rating,Temp_C,Weather
Elite: Saison 1: Épisode 7,28/02/2024,Drama,6,10.8,Cloudy
Elite: Saison 1: Épisode 8,01/03/2024,Drama,7,11.1,Rainy
Tall Girl,01/03/2024,Comedy,1,11.1,Rainy
Joker,01/03/2024,Drama,8,11.1,Rainy
How I Met Your Mother: Saison 1: Épisode 2,02/03/2024,Comedy,7,8.7,Rainy
Cyberpunk: Edgerunners: Saison 1: Épisode 2,02/03/2024,Anime,10,8.7,Rainy
Friends: Saison 1: Épisode 3,02/03/2024,Comedy,6,8.7,Rainy
Knives Out,02/03/2024,Mystery,6,8.7,Rainy
How I Met Your Mother: Saison 1: Épisode 3,02/03/2024,Comedy,8,8.7,Rainy
Elite: Saison 2: Épisode 2,03/03/2024,Drama,5,8.7,Rainy
Demon Slayer: Saison 1: Épisode 5,03/03/2024,Anime,10,8.7,Rainy
Death Note: Saison 1: Épisode 2,03/03/2024,Anime,10,8.7,Rainy
Elite: Saison 2: Épisode 1,03/03/2024,Drama,6,8.7,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 2,04/03/2024,Comedy,9,11.2,Rainy
Elite: Saison 2: Épisode 3,04/03/2024,Drama,5,11.2,Rainy
Everything Everywhere All At Once,04/03/2024,Sci-Fi,8,11.2,Rainy
Fight Club,05/03/2024,Drama,7,9.4,Rainy
6 Underground,06/03/2024,Action,5,9.5,Rainy
Elite: Saison 2: Épisode 4,06/03/2024,Drama,5,9.5,Rainy
Seinfeld: Saison 1: Épisode 2,07/03/2024,Comedy,9,12.9,Sunny
Elite: Saison 2: Épisode 5,08/03/2024,Drama,5,13.6,Cloudy
Don't Look Up,08/03/2024,Comedy,8,13.6,Cloudy
Shrek,09/03/2024,Animation,8,13.9,Rainy
Elite: Saison 2: Épisode 6,09/03/2024,Drama,6,13.9,Rainy
After,09/03/2024,Romance,3,13.9,Rainy
Toy Story,10/03/2024,Animation,10,10.5,Rainy
The Irishman,10/03/2024,Crime,10,10.5,Rainy
The Good Place: Saison 1: Épisode 1,13/03/2024,Comedy,10,14.4,Cloudy
Elite: Saison 2: Épisode 7,13/03/2024,Drama,4,14.4,Cloudy
Brooklyn Nine-Nine: Saison 1: Épisode 3,14/03/2024,Comedy,7,17.6,Cloudy
Demon Slayer: Saison 1: Épisode 6,14/03/2024,Anime,7,17.6,Cloudy
The Emoji Movie,15/03/2024,Animation,1,16.1,Rainy
Death Note: Saison 1: Épisode 3,16/03/2024,Anime,9,14.7,Rainy
Elite: Saison 2: Épisode 8,16/03/2024,Drama,8,14.7,Rainy
Elite: Saison 3: Épisode 1,16/03/2024,Drama,5,14.7,Rainy
Bright,16/03/2024,Fantasy,4,14.7,Rainy
Twilight,17/03/2024,Romance,2,15.1,Rainy
Attack on Titan: Saison 1: Épisode 1,17/03/2024,Anime,9,15.1,Rainy
Elite: Saison 3: Épisode 2,17/03/2024,Drama,7,15.1,Rainy
Jujutsu Kaisen: Saison 1: Épisode 2,17/03/2024,Anime,10,15.1,Rainy
Elite: Saison 3: Épisode 3,19/03/2024,Drama,8,17.4,Cloudy
Elite: Saison 3: Épisode 4,19/03/2024,Drama,8,17.4,Cloudy
Brooklyn Nine-Nine: Saison 1: Épisode 4,20/03/2024,Comedy,8,19.0,Cloudy
Elite: Saison 3: Épisode 5,20/03/2024,Drama,6,19.0,Cloudy
Spirited Away,22/03/2024,Anime,10,17.2,Rainy
How I Met Your Mother: Saison 1: Épisode 4,23/03/2024,Comedy,7,10.7,Snowy
Inception,23/03/2024,Sci-Fi,10,10.7,Snowy
Uncut Gems,24/03/2024,Thriller,9,11.4,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 5,26/03/2024,Comedy,7,12.5,Rainy
Elite: Saison 3: Épisode 6,26/03/2024,Drama,6,12.5,Rainy
The Kissing Booth,26/03/2024,Romance,3,12.5,Rainy
Klaus,27/03/2024,Animation,10,12.6,Rainy
Elite: Saison 3: Épisode 7,29/03/2024,Drama,8,13.6,Rainy
Elite: Saison 3: Épisode 8,29/03/2024,Drama,8,13.6,Rainy
Elite: Saison 4: Épisode 1,29/03/2024,Drama,4,13.6,Rainy
The Social Network,30/03/2024,Drama,10,12.2,Rainy
Elite: Saison 4: Épisode 2,31/03/2024,Drama,5,14.1,Rainy
Elite: Saison 4: Épisode 3,31/03/2024,Drama,7,14.1,Rainy
Cyberpunk: Edgerunners: Saison 1: Épisode 3,31/03/2024,Anime,7,14.1,Rainy
Spirited Away,31/03/2024,Anime,8,14.1,Rainy
Spirited Away,01/04/2024,Anime,10,13.6,Rainy
Elite: Saison 4: Épisode 4,01/04/2024,Drama,5,13.6,Rainy
Elite: Saison 4: Épisode 5,02/04/2024,Drama,8,13.9,Rainy
Roma,03/04/2024,Drama,7,16.3,Rainy
Modern Family: Saison 1: Épisode 3,04/04/2024,Comedy,8,18.2,Rainy
The Good Place: Saison 1: Épisode 2,04/04/2024,Comedy,10,18.2,Rainy
Elite: Saison 4: Épisode 6,04/04/2024,Drama,5,18.2,Rainy
Elite: Saison 4: Épisode 7,05/04/2024,Drama,8,18.5,Rainy
Dune: Part One,05/04/2024,Sci-Fi,10,18.5,Rainy
Glass Onion,06/04/2024,Mystery,9,24.0,Cloudy
Brooklyn Nine-Nine: Saison 1: Épisode 6,07/04/2024,Comedy,9,17.1,Rainy
The Old Guard,07/04/2024,Action,6,17.1,Rainy
Klaus,08/04/2024,Animation,7,21.3,Rainy
Elite: Saison 4: Épisode 8,09/04/2024,Drama,4,11.9,Rainy
Extraction,10/04/2024,Action,8,15.6,Cloudy
Extraction 2,10/04/2024,Action,5,15.6,Cloudy
Elite: Saison 5: Épisode 1,10/04/2024,Drama,6,15.6,Cloudy
Elite: Saison 5: Épisode 2,11/04/2024,Drama,6,17.6,Rainy
Arcane: Saison 1: Épisode 1,11/04/2024,Anime,10,17.6,Rainy
Elite: Saison 5: Épisode 3,11/04/2024,Drama,7,17.6,Rainy
Red Notice,12/04/2024,Action,3,22.8,Cloudy
Elite: Saison 5: Épisode 4,12/04/2024,Drama,6,22.8,Cloudy
Death Note: Saison 1: Épisode 4,13/04/2024,Anime,9,24.4,Cloudy
Elite: Saison 5: Épisode 5,13/04/2024,Drama,6,24.4,Cloudy
Elite: Saison 5: Épisode 6,13/04/2024,Drama,6,24.4,Cloudy
Marriage Story,13/04/2024,Drama,9,24.4,Cloudy
Superbad,14/04/2024,Comedy,6,19.6,Cloudy
Tenet,14/04/2024,Sci-Fi,7,19.6,Cloudy
Elite: Saison 5: Épisode 7,17/04/2024,Drama,8,11.8,Rainy
Elite: Saison 5: Épisode 8,17/04/2024,Drama,5,11.8,Rainy
The Hangover,18/04/2024,Comedy,8,11.9,Rainy
Elite: Saison 6: Épisode 1,19/04/2024,Drama,6,12.2,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 7,19/04/2024,Comedy,10,12.2,Rainy
Cats,20/04/2024,Musical,1,10.2,Rainy
Arcane: Saison 1: Épisode 3,20/04/2024,Anime,10,10.2,Rainy
Elite: Saison 6: Épisode 2,20/04/2024,Drama,8,10.2,Rainy
The Good Place: Saison 1: Épisode 3,20/04/2024,Comedy,9,10.2,Rainy
Arcane: Saison 1: Épisode 2,20/04/2024,Anime,8,10.2,Rainy
Princess Mononoke,21/04/2024,Anime,10,10.9,Rainy
Elite: Saison 6: Épisode 3,23/04/2024,Drama,8,11.2,Cloudy
Madame Web,23/04/2024,Action,1,11.2,Cloudy
Demon Slayer: Saison 1: Épisode 7,23/04/2024,Anime,8,11.2,Cloudy
Morbius,24/04/2024,Action,2,10.6,Rainy
How I Met Your Mother: Saison 1: Épisode 5,25/04/2024,Comedy,5,12.1,Rainy
Jujutsu Kaisen: Saison 1: Épisode 3,25/04/2024,Anime,8,12.1,Rainy
Death Note: Saison 1: Épisode 5,25/04/2024,Anime,10,12.1,Rainy
The Good Place: Saison 1: Épisode 4,26/04/2024,Comedy,10,15.1,Rainy
Seinfeld: Saison 1: Épisode 3,26/04/2024,Comedy,5,15.1,Rainy
Elite: Saison 6: Épisode 5,26/04/2024,Drama,7,15.1,Rainy
Elite: Saison 6: Épisode 4,26/04/2024,Drama,8,15.1,Rainy
Jujutsu Kaisen: Saison 1: Épisode 4,26/04/2024,Anime,10,15.1,Rainy
Seinfeld: Saison 1: Épisode 4,27/04/2024,Comedy,6,15.0,Rainy
Sharknado,27/04/2024,Comedy,3,15.0,Rainy
Elite: Saison 6: Épisode 6,28/04/2024,Drama,7,15.4,Rainy
Interstellar,28/04/2024,Sci-Fi,10,15.4,Rainy
Demon Slayer: Saison 1: Épisode 8,28/04/2024,Anime,9,15.4,Rainy
The Matrix,28/04/2024,Sci-Fi,9,15.4,Rainy
How I Met Your Mother: Saison 1: Épisode 6,28/04/2024,Comedy,7,15.4,Rainy
One Piece: Saison 1: Épisode 4,29/04/2024,Anime,6,17.9,Rainy
Elite: Saison 6: Épisode 7,29/04/2024,Drama,7,17.9,Rainy
Princess Mononoke,29/04/2024,Anime,10,17.9,Rainy
Dark: Saison 1: Épisode 2,30/04/2024,Sci-Fi,10,18.5,Rainy
Elite: Saison 6: Épisode 8,30/04/2024,Drama,4,18.5,Rainy
Dark: Saison 1: Épisode 1,30/04/2024,Sci-Fi,10,18.5,Rainy
Dragonball Evolution,01/05/2024,Action,3,19.9,Rainy
Army of the Dead,02/05/2024,Horror,7,15.1,Rainy
Dark: Saison 1: Épisode 3,03/05/2024,Sci-Fi,10,15.6,Rainy
The Emoji Movie,03/05/2024,Animation,1,15.6,Rainy
Dark: Saison 1: Épisode 4,04/05/2024,Sci-Fi,10,14.9,Rainy
Dark: Saison 1: Épisode 5,04/05/2024,Sci-Fi,9,14.9,Rainy
Cyberpunk: Edgerunners: Saison 1: Épisode 4,04/05/2024,Anime,10,14.9,Rainy
Dark: Saison 1: Épisode 6,05/05/2024,Sci-Fi,10,17.6,Rainy
Dark: Saison 1: Épisode 7,05/05/2024,Sci-Fi,9,17.6,Rainy
Arcane: Saison 1: Épisode 4,05/05/2024,Anime,10,17.6,Rainy
Klaus,05/05/2024,Animation,10,17.6,Rainy
50 Shades of Grey,07/05/2024,Romance,4,18.5,Rainy
365 Days,09/05/2024,Romance,1,19.4,Cloudy
Shrek,10/05/2024,Animation,9,22.5,Cloudy
Toy Story,11/05/2024,Animation,8,24.6,Cloudy
Friends: Saison 1: Épisode 4,12/05/2024,Comedy,6,24.3,Rainy
Dark: Saison 1: Épisode 8,12/05/2024,Sci-Fi,10,24.3,Rainy
Dark: Saison 2: Épisode 1,12/05/2024,Sci-Fi,9,24.3,Rainy
The Good Place: Saison 1: Épisode 5,12/05/2024,Comedy,9,24.3,Rainy
Dark: Saison 2: Épisode 2,12/05/2024,Sci-Fi,10,24.3,Rainy
Marriage Story,12/05/2024,Drama,10,24.3,Rainy
Dark: Saison 2: Épisode 3,13/05/2024,Sci-Fi,8,20.8,Cloudy
Dark: Saison 2: Épisode 4,13/05/2024,Sci-Fi,9,20.8,Cloudy
How I Met Your Mother: Saison 1: Épisode 7,13/05/2024,Comedy,9,20.8,Cloudy
Arrival,16/05/2024,Sci-Fi,7,18.3,Rainy
Jujutsu Kaisen: Saison 1: Épisode 5,17/05/2024,Anime,7,18.5,Rainy
Dark: Saison 2: Épisode 5,17/05/2024,Sci-Fi,8,18.5,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 8,17/05/2024,Comedy,10,18.5,Rainy
Bright,18/05/2024,Fantasy,4,20.0,Rainy
Klaus,18/05/2024,Animation,10,20.0,Rainy
Seinfeld: Saison 1: Épisode 5,18/05/2024,Comedy,8,20.0,Rainy
Seinfeld: Saison 1: Épisode 6,18/05/2024,Comedy,5,20.0,Rainy
One Piece: Saison 1: Épisode 5,18/05/2024,Anime,6,20.0,Rainy
Death Note: Saison 1: Épisode 6,18/05/2024,Anime,8,20.0,Rainy
Spider-Man: Into the Spider-Verse,18/05/2024,Animation,10,20.0,Rainy
Dark: Saison 2: Épisode 6,18/05/2024,Sci-Fi,10,20.0,Rainy
Death Note: Saison 1: Épisode 7,19/05/2024,Anime,9,19.1,Rainy
The Emoji Movie,19/05/2024,Animation,4,19.1,Rainy
Dark: Saison 2: Épisode 7,19/05/2024,Sci-Fi,9,19.1,Rainy
Seinfeld: Saison 1: Épisode 7,19/05/2024,Comedy,7,19.1,Rainy
Dark: Saison 2: Épisode 8,21/05/2024,Sci-Fi,8,19.2,Rainy
365 Days,21/05/2024,Romance,1,19.2,Rainy
Dark: Saison 3: Épisode 1,23/05/2024,Sci-Fi,10,18.3,Rainy
Dark: Saison 3: Épisode 2,23/05/2024,Sci-Fi,10,18.3,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 9,24/05/2024,Comedy,6,18.7,Rainy
Dark: Saison 3: Épisode 3,24/05/2024,Sci-Fi,10,18.7,Rainy
The Office (U.S.): Saison 1: Épisode 1,24/05/2024,Comedy,7,18.7,Rainy
Madame Web,25/05/2024,Action,1,20.1,Rainy
The Office (U.S.): Saison 1: Épisode 2,26/05/2024,Comedy,10,20.5,Rainy
Dark: Saison 3: Épisode 5,26/05/2024,Sci-Fi,10,20.5,Rainy
Morbius,26/05/2024,Action,1,20.5,Rainy
Dark: Saison 3: Épisode 4,26/05/2024,Sci-Fi,10,20.5,Rainy
Interstellar,26/05/2024,Sci-Fi,8,20.5,Rainy
Dark: Saison 3: Épisode 8,27/05/2024,Sci-Fi,9,16.7,Rainy
Dark: Saison 3: Épisode 7,27/05/2024,Sci-Fi,8,16.7,Rainy
Dark: Saison 3: Épisode 6,27/05/2024,Sci-Fi,10,16.7,Rainy
One Piece: Saison 1: Épisode 6,28/05/2024,Anime,8,16.6,Rainy
La Casa de Papel: Saison 1: Épisode 1,28/05/2024,Crime,8,16.6,Rainy
Extraction 2,28/05/2024,Action,9,16.6,Rainy
La Casa de Papel: Saison 1: Épisode 2,30/05/2024,Crime,6,16.3,Rainy
La Casa de Papel: Saison 1: Épisode 3,30/05/2024,Crime,9,16.3,Rainy
La Casa de Papel: Saison 1: Épisode 4,30/05/2024,Crime,9,16.3,Rainy
Arcane: Saison 1: Épisode 5,31/05/2024,Anime,10,16.9,Rainy
Tall Girl,31/05/2024,Comedy,5,16.9,Rainy
Murder Mystery,01/06/2024,Comedy,3,14.9,Rainy
Arcane: Saison 1: Épisode 6,01/06/2024,Anime,8,14.9,Rainy
Spirited Away,01/06/2024,Anime,9,14.9,Rainy
Modern Family: Saison 1: Épisode 4,01/06/2024,Comedy,6,14.9,Rainy
Joker,01/06/2024,Drama,10,14.9,Rainy
Demon Slayer: Saison 1: Épisode 9,01/06/2024,Anime,10,14.9,Rainy
Attack on Titan: Saison 1: Épisode 2,02/06/2024,Anime,8,17.5,Cloudy
Arcane: Saison 1: Épisode 7,02/06/2024,Anime,9,17.5,Cloudy
Shrek,02/06/2024,Animation,6,17.5,Cloudy
Jujutsu Kaisen: Saison 1: Épisode 6,03/06/2024,Anime,10,19.8,Rainy
Tenet,04/06/2024,Sci-Fi,6,21.9,Rainy
La Casa de Papel: Saison 1: Épisode 5,05/06/2024,Crime,9,18.4,Rainy
One Piece: Saison 1: Épisode 7,05/06/2024,Anime,8,18.4,Rainy
Fight Club,05/06/2024,Drama,10,18.4,Rainy
La Casa de Papel: Saison 1: Épisode 6,07/06/2024,Crime,10,20.3,Cloudy
One Piece: Saison 1: Épisode 8,07/06/2024,Anime,7,20.3,Cloudy
The Good Place: Saison 1: Épisode 6,07/06/2024,Comedy,10,20.3,Cloudy
Cyberpunk: Edgerunners: Saison 1: Épisode 5,07/06/2024,Anime,9,20.3,Cloudy
Death Note: Saison 1: Épisode 8,08/06/2024,Anime,7,21.0,Cloudy
Army of the Dead,08/06/2024,Horror,6,21.0,Cloudy
Uncut Gems,09/06/2024,Thriller,10,20.0,Cloudy
La Casa de Papel: Saison 1: Épisode 7,11/06/2024,Crime,9,16.6,Rainy
La Casa de Papel: Saison 1: Épisode 8,11/06/2024,Crime,10,16.6,Rainy
La Casa de Papel: Saison 1: Épisode 9,11/06/2024,Crime,7,16.6,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 10,12/06/2024,Comedy,7,16.8,Rainy
Triple Frontier,12/06/2024,Action,7,16.8,Rainy
La Casa de Papel: Saison 1: Épisode 10,12/06/2024,Crime,8,16.8,Rainy
Arcane: Saison 1: Épisode 8,13/06/2024,Anime,9,19.5,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 11,13/06/2024,Comedy,9,19.5,Rainy
The Good Place: Saison 1: Épisode 7,13/06/2024,Comedy,10,19.5,Rainy
La Casa de Papel: Saison 2: Épisode 1,14/06/2024,Crime,8,21.1,Rainy
La Casa de Papel: Saison 2: Épisode 2,14/06/2024,Crime,10,21.1,Rainy
How I Met Your Mother: Saison 1: Épisode 8,15/06/2024,Comedy,6,17.6,Rainy
La Casa de Papel: Saison 2: Épisode 3,15/06/2024,Crime,8,17.6,Rainy
The Social Network,15/06/2024,Drama,10,17.6,Rainy
La Casa de Papel: Saison 2: Épisode 4,16/06/2024,Crime,7,19.5,Rainy
Demon Slayer: Saison 1: Épisode 10,16/06/2024,Anime,9,19.5,Rainy
The Office (U.S.): Saison 1: Épisode 3,16/06/2024,Comedy,8,19.5,Rainy
Toy Story,16/06/2024,Animation,8,19.5,Rainy
La Casa de Papel: Saison 2: Épisode 5,19/06/2024,Crime,8,21.4,Rainy
La Casa de Papel: Saison 2: Épisode 6,21/06/2024,Crime,6,22.0,Rainy
Knives Out,21/06/2024,Mystery,8,22.0,Rainy
Jujutsu Kaisen: Saison 1: Épisode 7,22/06/2024,Anime,10,19.5,Rainy
La Casa de Papel: Saison 2: Épisode 7,22/06/2024,Crime,8,19.5,Rainy
The Power of the Dog,22/06/2024,Drama,7,19.5,Rainy
Attack on Titan: Saison 1: Épisode 3,22/06/2024,Anime,10,19.5,Rainy
Twilight,22/06/2024,Romance,4,19.5,Rainy
La Casa de Papel: Saison 2: Épisode 8,23/06/2024,Crime,7,23.8,Cloudy
Arcane: Saison 1: Épisode 9,23/06/2024,Anime,10,23.8,Cloudy
Princess Mononoke,23/06/2024,Anime,9,23.8,Cloudy
La Casa de Papel: Saison 2: Épisode 9,25/06/2024,Crime,10,27.8,Cloudy
The Matrix,25/06/2024,Sci-Fi,10,27.8,Cloudy
Princess Mononoke,26/06/2024,Anime,8,29.7,Cloudy
Friends: Saison 1: Épisode 5,27/06/2024,Comedy,10,28.5,Rainy
La Casa de Papel: Saison 2: Épisode 10,27/06/2024,Crime,6,28.5,Rainy
La Casa de Papel: Saison 3: Épisode 1,28/06/2024,Crime,7,22.0,Cloudy
The Irishman,28/06/2024,Crime,6,22.0,Cloudy
Modern Family: Saison 1: Épisode 5,28/06/2024,Comedy,7,22.0,Cloudy
John Wick,29/06/2024,Action,7,22.5,Rainy
The Emoji Movie,30/06/2024,Animation,3,22.2,Rainy
Spider-Man: Into the Spider-Verse,30/06/2024,Animation,10,22.2,Rainy
Dragonball Evolution,30/06/2024,Action,3,22.2,Rainy
La Casa de Papel: Saison 3: Épisode 2,01/07/2024,Crime,9,19.9,Rainy
Modern Family: Saison 1: Épisode 6,03/07/2024,Comedy,7,20.5,Rainy
The Hangover,03/07/2024,Comedy,5,20.5,Rainy
Friends: Saison 1: Épisode 6,05/07/2024,Comedy,9,23.9,Cloudy
La Casa de Papel: Saison 3: Épisode 3,05/07/2024,Crime,7,23.9,Cloudy
The Good Place: Saison 1: Épisode 8,05/07/2024,Comedy,10,23.9,Cloudy
Demon Slayer: Saison 1: Épisode 11,06/07/2024,Anime,7,20.8,Rainy
La Casa de Papel: Saison 3: Épisode 8,06/07/2024,Crime,7,20.8,Rainy
Everything Everywhere All At Once,06/07/2024,Sci-Fi,10,20.8,Rainy
La Casa de Papel: Saison 3: Épisode 7,06/07/2024,Crime,8,20.8,Rainy
La Casa de Papel: Saison 3: Épisode 6,06/07/2024,Crime,10,20.8,Rainy
La Casa de Papel: Saison 3: Épisode 5,06/07/2024,Crime,6,20.8,Rainy
La Casa de Papel: Saison 3: Épisode 4,06/07/2024,Crime,8,20.8,Rainy
Spider-Man: Into the Spider-Verse,06/07/2024,Animation,10,20.8,Rainy
Cyberpunk: Edgerunners: Saison 1: Épisode 6,07/07/2024,Anime,10,20.8,Rainy
La Casa de Papel: Saison 3: Épisode 9,07/07/2024,Crime,7,20.8,Rainy
Inception,07/07/2024,Sci-Fi,9,20.8,Rainy
The Gray Man,09/07/2024,Action,3,27.1,Rainy
La Casa de Papel: Saison 3: Épisode 10,10/07/2024,Crime,7,25.3,Rainy
Demon Slayer: Saison 2: Épisode 1,10/07/2024,Anime,10,25.3,Rainy
Dune: Part One,10/07/2024,Sci-Fi,7,25.3,Rainy
Death Note: Saison 1: Épisode 9,11/07/2024,Anime,9,23.9,Rainy
The Good Place: Saison 1: Épisode 9,12/07/2024,Comedy,8,19.3,Rainy
La Casa de Papel: Saison 4: Épisode 1,12/07/2024,Crime,10,19.3,Rainy
Sharknado,13/07/2024,Comedy,1,20.5,Rainy
La Casa de Papel: Saison 4: Épisode 3,13/07/2024,Crime,8,20.5,Rainy
Death Note: Saison 1: Épisode 10,13/07/2024,Anime,7,20.5,Rainy
La Casa de Papel: Saison 4: Épisode 2,13/07/2024,Crime,6,20.5,Rainy
Shrek,14/07/2024,Animation,8,22.6,Cloudy
One Piece: Saison 1: Épisode 9,14/07/2024,Anime,8,22.6,Cloudy
Princess Mononoke,14/07/2024,Anime,10,22.6,Cloudy
Princess Mononoke,14/07/2024,Anime,9,22.6,Cloudy
La Casa de Papel: Saison 4: Épisode 4,15/07/2024,Crime,8,26.9,Rainy
Jujutsu Kaisen: Saison 1: Épisode 8,15/07/2024,Anime,6,26.9,Rainy
La Casa de Papel: Saison 4: Épisode 5,16/07/2024,Crime,7,22.5,Rainy
Princess Mononoke,16/07/2024,Anime,10,22.5,Rainy
La Casa de Papel: Saison 4: Épisode 6,17/07/2024,Crime,8,24.2,Cloudy
The Good Place: Saison 1: Épisode 10,18/07/2024,Comedy,8,29.0,Cloudy
Red Notice,18/07/2024,Action,3,29.0,Cloudy
Demon Slayer: Saison 2: Épisode 2,18/07/2024,Anime,7,29.0,Cloudy
Top Gun: Maverick,19/07/2024,Action,10,31.8,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 12,20/07/2024,Comedy,7,30.4,Rainy
After,20/07/2024,Romance,1,30.4,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 13,21/07/2024,Comedy,8,25.1,Rainy
La Casa de Papel: Saison 4: Épisode 7,21/07/2024,Crime,8,25.1,Rainy
The Old Guard,21/07/2024,Action,6,25.1,Rainy
Spider-Man: Into the Spider-Verse,21/07/2024,Animation,9,25.1,Rainy
Friends: Saison 1: Épisode 7,22/07/2024,Comedy,7,24.6,Cloudy
La Casa de Papel: Saison 4: Épisode 8,22/07/2024,Crime,8,24.6,Cloudy
Don't Look Up,22/07/2024,Comedy,7,24.6,Cloudy
Superbad,23/07/2024,Comedy,7,23.7,Rainy
Modern Family: Saison 1: Épisode 7,23/07/2024,Comedy,10,23.7,Rainy
The Good Place: Saison 1: Épisode 11,23/07/2024,Comedy,10,23.7,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 14,24/07/2024,Comedy,8,24.8,Cloudy
Seinfeld: Saison 1: Épisode 8,24/07/2024,Comedy,7,24.8,Cloudy
Spirited Away,25/07/2024,Anime,8,28.3,Rainy
Parasite,25/07/2024,Thriller,10,28.3,Rainy
Death Note: Saison 1: Épisode 11,26/07/2024,Anime,9,23.9,Rainy
Blade Runner 2049,26/07/2024,Sci-Fi,10,23.9,Rainy
One Piece: Saison 1: Épisode 10,27/07/2024,Anime,7,19.7,Rainy
La Casa de Papel: Saison 4: Épisode 9,27/07/2024,Crime,6,19.7,Rainy
La Casa de Papel: Saison 4: Épisode 10,27/07/2024,Crime,8,19.7,Rainy
Attack on Titan: Saison 1: Épisode 4,28/07/2024,Anime,10,24.5,Cloudy
La Casa de Papel: Saison 5: Épisode 1,28/07/2024,Crime,6,24.5,Cloudy
6 Underground,28/07/2024,Action,5,24.5,Cloudy
